The Lord of the Rings: The Return of the King,3.28
Call of Duty: Black Ops 3,7.3
The Simpsons: Hit & Run,4.7
Tomb Raider III: Adventures of Lara Croft,3.54
MySims,3.69
Super Mario World 2: Yoshi's Island,2.91
Super Mario Galaxy 2,7.69
The Sims: Vacation,3.07
The Legend of Zelda: A Link Between Worlds,3.07
Tekken,3.24
Professor Layton and the Unwound Future,3.36
Dragon Ball Z: Budokai,3.09
Harry Potter and the Sorcerer's Stone,3.73
Minecraft,9.2
Golf,4.01
The Legend of Zelda: The Wind Waker,4.6
Far Cry 3,3.45
World Soccer Winning Eleven 6 International,2.99
Link's Crossbow Training,5.0
Diddy Kong Racing,4.88
Pokémon Yellow: Special Pikachu Edition,14.64
Tekken 3,7.16
Destiny,3.28
Super Mario 64,11.89
Call of Duty: Black Ops 3,14.24
Wii Party,8.49
Call of Duty: Advanced Warfare,5.13
New Super Mario Bros.,30.01
Medal of Honor: Frontline,6.83
LEGO Batman: The Videogame,3.38
Super Mario Bros. 2,7.46
The Sims 4,2.97
Dr. Mario,4.85
Star Fox 64,4.03
The Witcher 3: Wild Hunt,3.73
Ratchet & Clank,3.33
Super Mario 64,10.42
Battlefield 4,3.69
Red Dead Redemption,6.34
WWF War Zone,3.36
The Legend of Zelda: Twilight Princess,7.31
LEGO Star Wars: The Complete Saga,5.83
Gran Turismo 6,3.64
FIFA 12,4.19
Monster Hunter 4 Ultimate,3.89
Jak and Daxter: The Precursor Legacy,3.64
Just Dance 2,9.52
Madden NFL 2004,5.23
Namco Museum Vol.1,3.84
Doom II: Hell on Earth,3.61
Super Mario World,5.46
Kung Fu Panda,3.05
Pokemon Black 2/Pokemon White 2,8.33
Tekken 2,5.74
Wave Race 64,2.94
Super Mario Galaxy,11.52
New Super Mario Bros. U,5.19
Super Smash Bros. for Wii U and 3DS,7.45
Professor Layton and the Diabolical Box,4.0
Luigi's Mansion,3.6
Resident Evil,5.05
Call of Duty: Modern Warfare 3,14.76
Street Fighter II Turbo,4.1
Hitman 2: Silent Assassin,2.96
Cooking Mama,5.72
Super Mario 3D Land,10.79
Mario Party 9,3.32
Madden NFL 16,3.22
Call of Duty: Modern Warfare 2,13.51
Spyro the Dragon,5.0
Fallout 4,6.96
Super Mario World,20.61
Forza Motorsport 2,4.06
Spider-Man,3.13
Mario Kart: Super Circuit,5.47
Crash Bash,3.39
Spider-Man 2,3.41
Super Mario Land 3: Wario Land,5.19
Need for Speed III: Hot Pursuit,3.12
Killer Instinct,3.2
Sega Superstars Tennis,2.9
Resident Evil 5,3.51
Fable II,4.31
Grand Theft Auto: Vice City,16.15
Pokemon FireRed/Pokemon LeafGreen,10.49
Madden NFL 2002,3.08
Pokemon Pinball,5.31
Battlefield 3,7.34
The Elder Scrolls V: Skyrim,3.88
Super Mario World 2: Yoshi's Island,4.12
Namco Museum: 50th Anniversary,3.98
Guitar Hero III: Legends of Rock,4.98
Call of Duty: Ghosts,3.63
FIFA Soccer 06,4.21
Forza Motorsport 3,5.51
LittleBigPlanet,5.92
Final Fantasy VIII,7.86
Tomodachi Life,5.15
Kingdom Hearts II,4.33
Final Fantasy IX,5.3
FIFA Soccer 07,4.11
FIFA 16,3.23
Dragon Warrior IV,3.12
FIFA 17,4.77
Luigi's Mansion: Dark Moon,4.58
Wii Music,3.27
Monster Hunter Freedom Unite,5.5
Madden NFL 07,4.49
Resident Evil Director's Cut,3.77
Sonic Mega Collection Plus,2.9
Kirby's Dream Land,5.13
Call of Duty: Black Ops,12.73
Just Dance,7.27
Spider-Man: The Movie,4.48
NBA 2K16,3.85
The Elder Scrolls V: Skyrim,6.56
Final Fantasy III,3.42
The Legend of Zelda: Ocarina of Time,4.21
Animal Crossing: Wild World,12.27
Final Fantasy X-2,5.29
Resident Evil 6,3.15
SOCOM: U.S. Navy SEALs,3.65
Borderlands 2,3.07
The Elder Scrolls V: Skyrim,8.84
Uncharted: The Nathan Drake Collection,4.47
Call of Duty 4: Modern Warfare,9.32
Monster Hunter 4,3.44
Crash Bandicoot,6.82
Mass Effect,2.93
Tetris,5.58
FIFA Soccer 11,5.08
Super Mario Land,18.14
Pokémon Platinum Version,7.84
Forza Motorsport 4,4.64
Metal Gear Solid 2: Sons of Liberty,6.05
God of War III,4.84
Metal Gear Solid 4: Guns of the Patriots,6.03
Just Dance 2014,3.76
Super Smash Bros. Brawl,13.04
Donkey Kong Country,9.3
Call of Duty: Modern Warfare 2,10.69
Grand Theft Auto: Vice City Stories,5.08
Professor Layton and the Curious Village,5.26
Monster Hunter Freedom 3,4.87
Halo 2,8.49
Carnival Games,4.1
Middle-Earth: Shadow of Mordor,2.99
Pro Evolution Soccer 2008,3.63
The Legend of Zelda: Skyward Sword,4.1
WarioWare: Smooth Moves,2.92
Donkey Kong,3.07
Asteroids,4.31
Cooking Mama 2: Dinner With Friends,3.61
Red Dead Redemption,6.6
World Soccer Winning Eleven 8 International,3.85
Watch Dogs,4.14
Pokemon Gold/Pokemon Silver,23.1
Halo 4,9.76
Need for Speed: Most Wanted,4.37
Mario Kart Wii,35.82
The Legend of Zelda: Phantom Hourglass,5.17
NBA 2K13,3.0
Kung Fu,3.5
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.33
Tony Hawk's Pro Skater 3,4.41
Super Mario Bros. 3,17.28
Fable III,5.13
Resident Evil 3: Nemesis,3.72
Grand Theft Auto: Liberty City Stories,3.54
wwe Smackdown vs. Raw 2006,3.0
Mario Party 8,8.42
Gran Turismo (PSP),3.27
Mario & Sonic at the Olympic Games,8.06
Halo 5: Guardians,4.26
Grand Theft Auto V,5.08
Star Wars Battlefront (2015),7.67
The Legend of Zelda: Link's Awakening,3.83
The Sims 3,8.11
The Simpsons: Road Rage,3.61
Kinect Adventures!,21.82
Midnight Club 3: DUB Edition,3.66
Crash Bandicoot 2: Cortex Strikes Back,7.58
F-1 Race,3.41
Assassin's Creed III,5.3
Dragon Ball Z: Budokai Tenkaichi 3,3.0
LEGO Batman: The Videogame,3.17
Madden NFL 2005,4.53
Minecraft,4.02
Pokémon Crystal Version,6.39
Mario & Sonic at the Olympic Games,5.14
Resident Evil 4,3.62
Super Mario Sunshine,6.31
New Super Mario Bros. 2,9.82
Assassin's Creed,4.83
Star Wars Episode I Racer,3.12
Pokémon Trading Card Game,3.7
The Elder Scrolls IV: Oblivion,3.12
Fallout 3,4.01
Baseball,3.2
Tekken 5,3.87
Tony Hawk's Pro Skater 2,4.68
FIFA 15,6.59
Sonic the Hedgehog 2,6.03
Zumba Fitness,6.81
Wii Play,29.02
L.A. Noire,3.23
Croc: Legend of the Gobbos,3.56
Rugrats in Paris: The Movie,3.52
Super Paper Mario,3.76
Street Fighter IV,2.95
Fallout: New Vegas,3.17
EyeToy Play,4.2
God of War: Chains of Olympus,3.19
Rhythm Heaven,3.17
Street Fighter IV,4.19
Donkey Kong 64,5.27
Tony Hawk's Pro Skater 4,3.67
Pokemon Snap,3.63
Microsoft Flight Simulator,5.12
FIFA 14,6.9
Brain Age: Train Your Brain in Minutes a Day,20.22
Mario & Sonic at the Olympic Winter Games,4.58
Uncharted 2: Among Thieves,6.73
Grand Theft Auto V,16.38
Metal Gear Solid,6.03
Fallout: New Vegas,4.08
Call of Duty: Advanced Warfare,4.45
Super Mario Land 2: 6 Golden Coins,11.18
Uncharted 4: A Thief's End,4.2
Animal Crossing,3.15
Resistance: Fall of Man,4.35
Donkey Kong Country 2: Diddy's Kong Quest,5.15
Left 4 Dead 2,3.99
Pokemon Diamond/Pokemon Pearl,18.36
EA Sports Active,3.92
Dragon Quest IX: Sentinels of the Starry Skies,5.84
The Getaway,3.54
True Crime: Streets of LA,3.27
Animal Crossing: New Leaf,9.09
Call of Duty: Advanced Warfare,7.6
Battlefield: Bad Company 2,3.48
FIFA Soccer 08,3.14
Sonic Heroes,2.96
Guitar Hero III: Legends of Rock,4.53
Gran Turismo 5 Prologue,4.2
Battlefield 3,7.23
FIFA 15,3.11
Assassin's Creed Syndicate,3.28
Battlefield 4,3.43
Guitar Hero: On Tour,3.48
Wii Sports Resort,33.0
Gran Turismo 4,11.66
Monster Hunter X,3.26
Zelda II: The Adventure of Link,4.38
Call of Duty: World at War,5.43
Grand Theft Auto 2,3.42
Super Mario Maker,3.18
Metal Gear Solid V: The Phantom Pain,3.38
